ID,taskType_ID,sequence,name,description,functionType_code,autoRun,executeCondition,model_ID,outputContextPath,contextType_code,isRAGEnabled,ragClass,ragSource,ragParameter,ragTopK,ragThreshold,ragOutputContextPath,implementationClass,subTaskType_ID
e79d2d70-7867-4221-b175-1bbecb6e401e,e79d2d70-7867-4221-b175-1bbecb6e401e,1,Get project info,"Get project ID, package, transport number",Standard AI chat interaction (A),FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,projectInfo,markdown,FALSE,,,,,,,,
bffc7d74-a887-4f61-a578-473d6c56c13a,e79d2d70-7867-4221-b175-1bbecb6e401e,2,Get requirement,Get user requirement details,Standard AI chat interaction (A),FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,requirementAll,markdown,FALSE,,,,,,,,
78560b44-6737-4510-b034-6c50c916e97e,e79d2d70-7867-4221-b175-1bbecb6e401e,5,Generate CDS design,Generate CDS design,Standard AI chat interaction (A),FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,ddlsDesign,markdown,FALSE,,,,,,,,
47d9ee81-4f5e-4c3e-8ec9-9da7d343e978,e79d2d70-7867-4221-b175-1bbecb6e401e,4,Determine about db table,Determine about db table,Structured function invocation (F),FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,subtask4tabl,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateTasksBotExecution,6a0c309b-8bde-4dd4-8386-4ae384accb9c
70fbf492-684f-47df-a357-59065f36ab74,e79d2d70-7867-4221-b175-1bbecb6e401e,7,Call Odata service to active CDS,Call Odata service to active CDS,Structured function invocation (F),FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,ddlsResult,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateCdsOdataBotExecution,
7a4b7ad1-46f1-4d15-969f-f44b3fd8deb1,e79d2d70-7867-4221-b175-1bbecb6e401e,8,Determine about Behavior,Determine about Behavior,Structured function invocation (F),FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,subtask4bdef,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateTasksBotExecution,d4d92a4c-b0b4-465d-a0c7-90d4347ccee2
77fa8269-56b5-4a42-a512-22d1dbfa04cf,e79d2d70-7867-4221-b175-1bbecb6e401e,9,Determine about Class,Determine about implementation Class,Structured function invocation (F),FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,subtask4clas,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateTasksBotExecution,cf216b89-076c-44fe-9ce3-de0a96dd3cc7
2f131f8d-1ba6-4b00-aad5-9dc14ce5a47c,e79d2d70-7867-4221-b175-1bbecb6e401e,6,Generate CDS Code,Generate All CDS Code,Standard AI chat interaction (A),FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,ddlsCode,code,FALSE,,,,,,,,
e43ee0c0-ea7d-46bd-a9d7-da1d12feaac5,e79d2d70-7867-4221-b175-1bbecb6e401e,10,Call Odata to active service,Call Odata to active service,Structured function invocation (F),FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,srvd&srvbResult,code,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateServiceDefinitionBotExecution,
f29dfd00-0de2-4b94-9f28-8ac10af080c8,e79d2d70-7867-4221-b175-1bbecb6e401e,3,Get RAG knowledge,Get RAG knowledge according to requirement,Structured function invocation (F),FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,ragViewList,,TRUE,customer.ai2code.service.impl.rag.RAGCDSViewExtractorImpl,,{{SubContext:requirementAll}},10,0.65,,customer.ai2code.service.impl.execution.ExtractViewDetailExecution,
